created At,tree ID,curb loc,status,spc common,zip city,boroName
8/27/2015,180683,OnCurb,Alive,red maple,Forest Hills,Queens
9/3/2015,200540,OnCurb,Alive,pin oak,Whitestone,Queens
9/5/2015,204026,OnCurb,Alive,honeylocust,Brooklyn,Brooklyn
9/5/2015,204337,OnCurb,Alive,honeylocust,Brooklyn,Brooklyn
8/30/2015,189565,OnCurb,Alive,American linden,Brooklyn,Brooklyn
8/30/2015,190422,OnCurb,Alive,honeylocust,New York,Manhattan
8/30/2015,190426,OnCurb,Alive,honeylocust,New York,Manhattan
9/7/2015,208649,OnCurb,Alive,American linden,New York,Manhattan
9/8/2015,209610,OnCurb,Alive,honeylocust,Staten Island,Staten Island
8/31/2015,192755,OffsetFromCurb,Alive,London planetree,Brooklyn,Brooklyn
9/5/2015,203719,OnCurb,Alive,London planetree,Astoria,Queens
9/5/2015,203726,OnCurb,Alive,London planetree,Astoria,Queens
9/1/2015,195202,OnCurb,Alive,London planetree,Staten Island,Staten Island
8/30/2015,189465,OnCurb,Alive,London planetree,Brooklyn,Brooklyn
8/31/2015,192998,OnCurb,Alive,London planetree,Brooklyn,Brooklyn
8/30/2015,189834,OnCurb,Alive,honeylocust,Brooklyn,Brooklyn
9/5/2015,204208,OnCurb,Alive,ginkgo,Brooklyn,Brooklyn
8/20/2015,161339,OnCurb,Alive,honeylocust,Brooklyn,Brooklyn
8/29/2015,187311,OnCurb,Alive,honeylocust,Elmhurst,Queens
9/7/2015,208201,OnCurb,Alive,ginkgo,Brooklyn,Brooklyn
8/31/2015,193093,OnCurb,Alive,honeylocust,Brooklyn,Brooklyn
8/31/2015,193310,OnCurb,Alive,honeylocust,New York,Manhattan
9/3/2015,199760,OnCurb,Alive,willow oak,New York,Manhattan
9/5/2015,204325,OnCurb,Alive,sycamore maple,Staten Island,Staten Island
8/30/2015,189700,OnCurb,Alive,willow oak,Brooklyn,Brooklyn
9/5/2015,205044,OnCurb,Alive,Amur maple,Brooklyn,Brooklyn
8/31/2015,192942,OnCurb,Alive,London planetree,Kew Gardens,Queens
9/1/2015,195265,OnCurb,Alive,London planetree,Brooklyn,Brooklyn
9/4/2015,201555,OnCurb,Alive,honeylocust,New York,Manhattan
9/7/2015,208407,OnCurb,Alive,honeylocust,Ridgewood,Queens
8/30/2015,189164,OnCurb,Alive,honeylocust,Brooklyn,Brooklyn
8/29/2015,184375,OnCurb,Alive,honeylocust,Bronx,Bronx
8/29/2015,187056,OnCurb,Alive,honeylocust,New York,Manhattan
8/29/2015,187058,OnCurb,Alive,honeylocust,New York,Manhattan
8/26/2015,178659,OnCurb,Alive,honeylocust,Staten Island,Staten Island
8/30/2015,190423,OnCurb,Alive,honeylocust,New York,Manhattan
8/30/2015,190425,OnCurb,Alive,honeylocust,New York,Manhattan
9/5/2015,204202,OnCurb,Alive,London planetree,Staten Island,Staten Island
9/4/2015,201494,OnCurb,Alive,London planetree,Staten Island,Staten Island
9/7/2015,208346,OffsetFromCurb,Alive,London planetree,New York,Manhattan
8/28/2015,181710,OnCurb,Alive,willow oak,Brooklyn,Brooklyn
8/26/2015,178382,OnCurb,Alive,London planetree,New York,Manhattan
9/1/2015,193690,OnCurb,Alive,London planetree,Brooklyn,Brooklyn
9/2/2015,196089,OnCurb,Alive,London planetree,Kew Gardens,Queens
8/31/2015,191988,OnCurb,Alive,willow oak,New York,Manhattan
9/5/2015,203720,OnCurb,Alive,London planetree,Astoria,Queens
8/30/2015,189339,OffsetFromCurb,Alive,London planetree,Brooklyn,Brooklyn
9/7/2015,208230,OffsetFromCurb,Alive,London planetree,New York,Manhattan
9/5/2015,204413,OnCurb,Alive,willow oak,Brooklyn,Brooklyn
